properties{
  x = 0,
  y = 0,
  width = 1600,
  height = 1200,
  min_layer = -1,
  max_layer = 2,
  tileset = "dungeon/light_green",
  music = "DJungle",
}

tile{
  layer = -1,
  x = 944,
  y = 328,
  width = 48,
  height = 144,
  pattern = "floor_low.5-1",
}

tile{
  layer = -1,
  x = 608,
  y = 320,
  width = 336,
  height = 144,
  pattern = "hole",
}

tile{
  layer = -1,
  x = 928,
  y = 320,
  width = 16,
  height = 16,
  pattern = "floor_low.5-1",
}

tile{
  layer = -1,
  x = 984,
  y = 464,
  width = 176,
  height = 8,
  pattern = "wall_low_border.1-5",
}

tile{
  layer = -1,
  x = 512,
  y = 432,
  width = 96,
  height = 32,
  pattern = "floor_low.5-1",
}

tile{
  layer = -1,
  x = 560,
  y = 320,
  width = 48,
  height = 112,
  pattern = "floor_low.5-1",
}

tile{
  layer = -1,
  x = 512,
  y = 464,
  width = 432,
  height = 56,
  pattern = "hole",
}

tile{
  layer = -1,
  x = 472,
  y = 424,
  width = 48,
  height = 96,
  pattern = "floor_low.5-1",
}

tile{
  layer = -1,
  x = 464,
  y = 424,
  width = 8,
  height = 128,
  pattern = "wall_low_border.3-5",
}

tile{
  layer = -1,
  x = 464,
  y = 552,
  width = 64,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = -1,
  x = 632,
  y = 504,
  width = 536,
  height = 96,
  pattern = "hole",
}

tile{
  layer = -1,
  x = 656,
  y = 584,
  width = 80,
  height = 16,
  pattern = "wall_hole.2-1",
}

tile{
  layer = -1,
  x = 632,
  y = 584,
  width = 48,
  height = 16,
  pattern = "floor_low.5-1",
}

tile{
  layer = -1,
  x = 736,
  y = 584,
  width = 128,
  height = 16,
  pattern = "floor_low.5-1",
}

tile{
  layer = -1,
  x = 1400,
  y = 360,
  width = 80,
  height = 288,
  pattern = "floor_low.5-1",
}

tile{
  layer = -1,
  x = 1400,
  y = 368,
  width = 80,
  height = 8,
  pattern = "wall_low_border.1-5",
}

tile{
  layer = -1,
  x = 1104,
  y = 808,
  width = 352,
  height = 64,
  pattern = "floor_low.5-1",
}

tile{
  layer = -1,
  x = 1104,
  y = 808,
  width = 352,
  height = 8,
  pattern = "wall_low_border.1-5",
}

tile{
  layer = -1,
  x = 1096,
  y = 784,
  width = 368,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = -1,
  x = 1408,
  y = 792,
  width = 8,
  height = 24,
  pattern = "stairs_inner_up.1.border.1-1",
}

tile{
  layer = -1,
  x = 1432,
  y = 792,
  width = 8,
  height = 24,
  pattern = "stairs_inner_up.1.border.2-1",
}

tile{
  layer = -1,
  x = 1416,
  y = 792,
  width = 16,
  height = 24,
  pattern = "stairs_inner_up.1-1",
}

tile{
  layer = -1,
  x = 1264,
  y = 792,
  width = 8,
  height = 24,
  pattern = "stairs_inner_up.1.border.1-1",
}

tile{
  layer = -1,
  x = 1288,
  y = 792,
  width = 8,
  height = 24,
  pattern = "stairs_inner_up.1.border.2-1",
}

tile{
  layer = -1,
  x = 1272,
  y = 792,
  width = 16,
  height = 24,
  pattern = "stairs_inner_up.1-1",
}

tile{
  layer = -1,
  x = 1120,
  y = 792,
  width = 8,
  height = 24,
  pattern = "stairs_inner_up.1.border.1-1",
}

tile{
  layer = -1,
  x = 1144,
  y = 792,
  width = 8,
  height = 24,
  pattern = "stairs_inner_up.1.border.2-1",
}

tile{
  layer = -1,
  x = 1128,
  y = 792,
  width = 16,
  height = 24,
  pattern = "stairs_inner_up.1-1",
}

tile{
  layer = -1,
  x = 1096,
  y = 816,
  width = 8,
  height = 48,
  pattern = "wall_low_border.3-5",
}

tile{
  layer = -1,
  x = 1096,
  y = 808,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.1-5",
}

tile{
  layer = -1,
  x = 1456,
  y = 808,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.2-5",
}

tile{
  layer = -1,
  x = 1096,
  y = 864,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.3-5",
}

tile{
  layer = -1,
  x = 1456,
  y = 864,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-5",
}

tile{
  layer = -1,
  x = 1104,
  y = 864,
  width = 352,
  height = 8,
  pattern = "wall_low_border.2-5",
}

tile{
  layer = -1,
  x = 1456,
  y = 816,
  width = 8,
  height = 48,
  pattern = "wall_low_border.4-5",
}

tile{
  layer = -1,
  x = 1072,
  y = 808,
  width = 24,
  height = 64,
  pattern = "wall_low.3-1",
}

tile{
  layer = -1,
  x = 1096,
  y = 872,
  width = 368,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = -1,
  x = 1072,
  y = 784,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = -1,
  x = 1464,
  y = 784,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-1",
}

tile{
  layer = -1,
  x = 1072,
  y = 872,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-1",
}

tile{
  layer = -1,
  x = 1464,
  y = 872,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-1",
}

tile{
  layer = -1,
  x = 1464,
  y = 808,
  width = 24,
  height = 64,
  pattern = "wall_low.4-1",
}

tile{
  layer = -1,
  x = 1408,
  y = 344,
  width = 80,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = -1,
  x = 1384,
  y = 368,
  width = 24,
  height = 272,
  pattern = "wall_low.3-1",
}

tile{
  layer = -1,
  x = 1488,
  y = 368,
  width = 24,
  height = 272,
  pattern = "wall_low.4-1",
}

tile{
  layer = -1,
  x = 1408,
  y = 368,
  width = 8,
  height = 272,
  pattern = "wall_low_border.3-5",
}

tile{
  layer = -1,
  x = 1408,
  y = 368,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.1-5",
}

tile{
  layer = -1,
  x = 1480,
  y = 368,
  width = 8,
  height = 272,
  pattern = "wall_low_border.4-5",
}

tile{
  layer = -1,
  x = 1480,
  y = 368,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.2-5",
}

tile{
  layer = -1,
  x = 1424,
  y = 352,
  width = 8,
